z_m,T_ci_C,T_co_C
-2.920999999999773777e-01,4.022952853516501932e+02,3.444074011094060097e+02
-2.793999999999772221e-01,4.027731174456097847e+02,3.447929035920637943e+02
-2.666999999999770665e-01,4.032430107703245881e+02,3.451752376906695190e+02
-2.539999999999769109e-01,4.037049249707606009e+02,3.455543639830170264e+02
-2.412999999999767553e-01,4.041588204283374353e+02,3.459302435081418139e+02
-2.285999999999765997e-01,4.046046582675060108e+02,3.463028377748311186e+02
-2.158999999999764441e-01,4.050424003623530780e+02,3.466721087701434953e+02
-2.031999999999762885e-01,4.054720093432382555e+02,3.470380189679385126e+02
-1.904999999999761329e-01,4.056708849127207941e+02,3.471666539997038399e+02
-1.777999999999759773e-01,4.057431238270425524e+02,3.471673770462284665e+02
-1.650999999999758217e-01,4.058104032708868658e+02,3.471680498872486282e+02
-1.523999999999756660e-01,4.058727184203522711e+02,3.471686725961847628e+02
-1.396999999999755104e-01,4.059300648079037614e+02,3.471692452408270242e+02
-1.269999999999753548e-01,4.059824383225943052e+02,3.471697678833802456e+02
-1.142999999999751992e-01,4.060298352102702211e+02,3.471702405805048102e+02
-1.015999999999750436e-01,4.060722520737568857e+02,3.471706633833539399e+02
-8.889999999997488800e-02,4.061096858730265353e+02,3.471710363376071200e+02
-7.619999999997473239e-02,4.061421339253485598e+02,3.471713594834999412e+02
-6.349999999997457678e-02,4.061695939054229711e+02,3.471716328558507030e+02
-5.079999999997442117e-02,4.061920638454939763e+02,3.471718564840825820e+02
-3.809999999997426556e-02,4.062095421354477480e+02,3.471720303922432436e+02
-2.539999999997410995e-02,4.062220275228912101e+02,3.471721545990201889e+02
-1.269999999997395435e-02,4.062295191132137688e+02,3.471722291177529200e+02
2.620126338115369435e-14,4.062320163696314239e+02,3.471722539564417502e+02
1.270000000002635687e-02,4.062295191132137688e+02,3.471722291177529200e+02
2.540000000002651248e-02,4.062220275228912101e+02,3.471721545990201889e+02
3.810000000002666809e-02,4.062095421354475206e+02,3.471720303922432436e+02
5.080000000002682370e-02,4.061920638454937489e+02,3.471718564840825820e+02
6.350000000002697931e-02,4.061695939054227438e+02,3.471716328558507030e+02
7.620000000002713492e-02,4.061421339253482756e+02,3.471713594834999412e+02
8.890000000002729053e-02,4.061096858730262511e+02,3.471710363376070632e+02
1.016000000000274461e-01,4.060722520737566015e+02,3.471706633833539399e+02
1.143000000000276017e-01,4.060298352102699937e+02,3.471702405805048102e+02
1.270000000000277574e-01,4.059824383225940778e+02,3.471697678833802456e+02
1.397000000000279130e-01,4.059300648079034772e+02,3.471692452408270242e+02
1.524000000000280686e-01,4.058727184203522711e+02,3.471686725961847628e+02
